"Date","Price","Open","High","Low","Change %"
"Oct 17, 2010","1.5686","1.5987","1.6006","1.5654","-1.92%"
"Oct 10, 2010","1.5993","1.5962","1.6107","1.5758","0.17%"
"Oct 03, 2010","1.5966","1.5806","1.6019","1.5751","0.94%"
"Sep 26, 2010","1.5817","1.5825","1.5925","1.5670","-0.03%"
"Sep 19, 2010","1.5821","1.5661","1.5846","1.5503","1.23%"
"Sep 12, 2010","1.5629","1.5356","1.5730","1.5347","1.81%"
"Sep 05, 2010","1.5351","1.5442","1.5535","1.5297","-0.63%"
"Aug 29, 2010","1.5448","1.5536","1.5583","1.5328","-0.48%"
"Aug 22, 2010","1.5522","1.5545","1.5623","1.5372","-0.08%"
"Aug 15, 2010","1.5534","1.5582","1.5710","1.5463","-0.41%"
"Aug 08, 2010","1.5598","1.5989","1.5999","1.5562","-2.19%"
"Aug 01, 2010","1.5947","1.5726","1.6004","1.5696","1.68%"
"Jul 25, 2010","1.5684","1.5419","1.5724","1.5410","1.61%"
"Jul 18, 2010","1.5436","1.5288","1.5452","1.5126","0.95%"
"Jul 11, 2010","1.5291","1.5056","1.5474","1.4949","1.50%"
"Jul 04, 2010","1.5065","1.5200","1.5244","1.5051","-0.90%"
"Jun 27, 2010","1.5202","1.5055","1.5231","1.4874","0.91%"
"Jun 20, 2010","1.5065","1.4855","1.5080","1.4688","1.59%"
"Jun 13, 2010","1.4829","1.4564","1.4889","1.4552","1.95%"
"Jun 06, 2010","1.4545","1.4427","1.4761","1.4346","0.57%"
"May 30, 2010","1.4463","1.4432","1.4771","1.4428","-0.02%"
"May 23, 2010","1.4466","1.4465","1.4613","1.4260","-0.01%"
"May 16, 2010","1.4468","1.4526","1.4548","1.4232","-0.49%"
"May 09, 2010","1.4539","1.4851","1.5055","1.4497","-1.78%"
"May 02, 2010","1.4802","1.5316","1.5322","1.4478","-3.07%"
"Apr 25, 2010","1.5271","1.5388","1.5501","1.5127","-0.70%"
"Apr 18, 2010","1.5379","1.5290","1.5475","1.5191","0.12%"
"Apr 11, 2010","1.5360","1.5452","1.5526","1.5337","-0.10%"
